"phrasal_verb","data.derivatives","data.descriptions","data.examples","data.frequency","data.synonyms","data.difficulty","data.tags"
"cut back on","[""cut back"",""cuts back"",""cutting back""]","[""same as cut down"",""to reduce the amount of something, especially money that you spend"",""to remove parts of a plant or tree in order to reduce its size""]","[""If you cut back on fat and sugar, you’ll lose weight."",""It’s time we cut back a little."",""Pete smokes but he’s trying to cut back."",""We’re trying to cut back on the amount we spend on food."",""plans to cut back investment in education""]",\N,\N,"Easy",\N
"cut down","[""cuts down"",""cutting down""]","[""if a weapon, bullet, or illness cuts someone down, it kills or injures them"",""to cut through the trunk of a tree in order to make it fall to the ground"",""to make someone accept that they are not as important or impressive as they believe they are"",""to make something such as a speech or piece of writing shorter"",""to reduce an amount of something"",""to start doing less of something, especially because it is bad for your health""]","[""How can you cut down the risk of cancer?"",""I don't mind that he never existed, means he never cut down any trees."",""I told you I was concerned about your drinking and you promised to cut down."",""I’m trying to cut down on salt."",""Nora lit a cigarette, vowing for the thousandth time to cut down."",""People suing each other'cause a fence was in the wrong place, or a tree had been cut down."",""The doctor advised him to cut down his working hours."",""These improvements will cut down on traffic noise.""]",3,"[""fell"",""hew"",""level"",""lop""]","Easy",\N
"cut down on","[""cut down"",""cuts down"",""cutting down""]","[""if a weapon, bullet, or illness cuts someone down, it kills or injures them"",""to cut through the trunk of a tree in order to make it fall to the ground"",""to make someone accept that they are not as important or impressive as they believe they are"",""to make something such as a speech or piece of writing shorter"",""to reduce an amount of something"",""to start doing less of something, especially because it is bad for your health""]","[""How can you cut down the risk of cancer?"",""I’m trying to cut down on salt."",""The doctor advised him to cut down his working hours."",""These improvements will cut down on traffic noise.""]",\N,\N,"Easy",\N
"cut in","[""cuts in"",""cutting in""]","[""if a piece of equipment cuts in, it starts operating automatically when it is needed"",""if someone cuts in when you are dancing with someone, they start dancing with the person you were dancing with"",""to allow someone to get part of the profits of something"",""to drive past a vehicle and move quickly in front of it in a dangerous way"",""to interrupt someone who is speaking"",""to move into a line of people or things out of turn""]","[""He turned over and waited for the answering machine to cut in."",""The bilge pumps had cut in now, their high-pitched whine distinctive over the deeper roar of the main engines."",""The cooling system cuts in when the temperature gets too high."",""The customers queuing at the check-out would not let anyone cut in just because they had only a few items."",""The gas turbines cut in, eliminating the telltale trail in the sky."",""They wouldn’t cut me in on the deal."",""`I'm in the most peculiar mood -' `Charlie's celebrating,\"" Levit cut in, grinning hugely."",""‘That’s rubbish,’ Sue cut in.""]",3,"[""break in"",""butt in"",""interpose"",""interrupt""]","Medium",\N
"cut into","[""cuts into"",""cutting into""]","[""to interrupt an activity or process"",""to reduce an amount of something that is available, especially time or money""]","[""A loud rap on his office door cut into his thoughts."",""The teaching days I do really cut into my time at home.""]",\N,\N,"Medium",\N
"cut it out",\N,"[""stop your unfair or unreasonable behaviour""]",\N,\N,\N,"Easy",\N
"cut off","[""cuts off"",""cutting off""]","[""if someone or something cuts you off when you are talking on the telephone, they make the telephone line stop working"",""same as cut"",""to do something that is intended to harm someone even though you know that it will harm you too"",""to make a place difficult or impossible to enter, leave, or communicate with"",""to not allow someone to buy any more alcoholic drinks in a bar because they have already drunk too many"",""to prevent someone from continuing what they are saying"",""to prevent someone from ever receiving your money or property"",""to prevent someone from leaving a place, or from communicating with people in another place"",""to remove something by cutting it"",""to stop having a close or friendly relationship with someone"",""to stop someone from going somewhere, especially by blocking their way""]","[""A second policeman cut off his escape."",""A torso with the left leg missing, the right cut off at the thigh, no arms, no head."",""But the overall impression, when she stepped from her cut-off jeans and slid down her panties, was wonderful."",""Cut the tops off the carrots."",""Don’t cut me off when I’m talking."",""Having a new baby can cut a young mother off from the adult world."",""Her father cut her off without a penny."",""Nick was smoking, wearing wet cut-off jeans, his body skinny and pale."",""Our house is cut off from the rest of the town."",""She fought her way down it to the fence which cut off both gardens from the motor road."",""She struggled to shout, but the hand covered her mouth, almost cut off her breath."",""The floods completely cut off the town."",""The government has threatened to cut off our funding."",""The table lurched as a young man in cut-off faded jeans leant his weight on it."",""They cut off the electricity last week."",""Unfortunately, the part they had to cut off was... Ew, I don't even like writing it."",""We got cut off in the middle of the call."",""Why did all his friends suddenly cut him off?"",""Why did you cut off all your hair?""]",3,"[""break in"",""butt in"",""interrupt"",""stop""]","Easy",\N
"cut out","[""cuts out"",""cutting out""]","[""if an engine or machine cuts out, it suddenly stops working"",""same as cut"",""to lack the right qualities or character for doing something"",""to make something by cutting it from a larger piece"",""to not allow someone to do something or get something"",""to remove something from a larger piece by cutting"",""to stop eating something or doing something, especially because it is bad for your health"",""to stop something such as noise or light from reaching a place"",""to suddenly leave a line of traffic and join another one"",""used for telling someone to stop doing something that you do not like""]","[""And perhaps if she was so easily put off she was not really cut out for motherhood."",""August hoped it would be live; there was less chance of getting edited, important words cut out."",""Bill was never cut out to be a parent."",""Frank’s mother cut him out of her will."",""I cut this article out of a magazine for you."",""I don’t want to cut the children out of our plans."",""I imagine Philip Richmond was pretty miffed at being cut out of his father's will."",""I’ve cut out chocolate completely."",""The note was prepared from cut-out words from newspapers, roughly glued to the paper."",""The sound cut out across the waters, a welcome home for a hero."",""There was no waitress in sight, so he got up and went towards the brightness of the cut-out bar window and bought himself a beer."",""They’ve cut out several scenes in which I appeared."",""Using the 5cm cutter, cut out six circles from the rectangular cake."",""Will you cut it out – I’m trying to sleep here!"",""You'd swear he was a cardboard cut-out except that he'd moved his rifle so he held it at his side for a change.""]",3,"[""displace"",""eliminate"",""exclude"",""oust""]","Easy",\N
"cut out on",\N,"[""let down, snub""]",\N,\N,\N,"Medium",\N
"cut over","[""cuts over"",""cutting over""]","[""to move information or users of a computer system to a new place or to new equipment at the same time or in an order that causes as few problems as possible""]",\N,\N,\N,"Hard",\N
"cut through","[""cuts through"",""cutting through""]","[""to deal quickly and effectively with something that causes problems or is confusing"",""to go through an area instead of going around the edge of it"",""to make a path through something by cutting"",""to move quickly and smoothly through something""]","[""England cut through the French defence and scored a try."",""He cut his way through the jungle with a machete."",""He decided to cut through the forest."",""She tried to cut through the undergrowth."",""We need to cut through the political rhetoric and see what really lies behind the policy.""]",\N,\N,"Medium",\N
"cut up","[""cuts up"",""cutting up""]","[""to become angry, threatening, or violent"",""to behave in a noisy silly way"",""to cut something into several pieces"",""to drive past a vehicle and move quickly in front of it in a dangerous way""]","[""At this stage, your child will need someone to cut up her food for her."",""But it was hard to turn off the stories of schoolchildren burned and babies cut up."",""Did you see the way he cut me up there?"",""Felicity Maxwell went over from our table to offer to cut up the chops for her."",""I had to be dressed every day, I had to have my food cut up for me."",""When Steve cut up rough, she realized she’d gone too far."",""`She went up on the pavement, cut up a lorry, jumped a light.""]",0,\N,"Easy",\N
"dab off","[""dabs off"",""dabbing off"",""dabbed off""]","[""to remove something from a surface by gently touching it several times with something such as a piece of cloth""]","[""He put his handkerchief to his face and dabbed off a tear."",""‘This won’t take long,’ said the nurse, dabbing the blood off his arm.""]",\N,\N,"Medium",\N
"dally with","[""dallies with"",""dallying with"",""dallied with""]","[""to consider an idea or course of action but not in a serious way"",""to have a short sexual relationship with someone""]","[""She had often dallied with the thought of leaving him.""]",\N,\N,"Medium",\N
"damp down",\N,"[""calm or reduce feelings, emotions"",""make a fire burn less""]",\N,\N,\N,"Medium",\N
"damp off",\N,"[""when there is too much moisture and a plant is affected by fungal parasites""]",\N,\N,\N,"Hard",\N
"dash down",\N,"[""write something quickly""]",\N,\N,\N,"Medium",\N
"dash off","[""dashes off"",""dashing off"",""dashed off""]","[""to leave quickly or suddenly because you are in a hurry"",""to write or draw something quickly because you are in a hurry""]","[""Between takes she dashes off to her changing room to top up her bottle from the kettle."",""He realises he does want to make a go of things and apologises for dashing off."",""I sat down and dashed off a couple of notes."",""It is difficult to see this bird clearly, because it dashes off quickly through the treetops if you get near."",""I’ve got to dash off straight after lunch to meet a client."",""The camera is so excited that it dashes off in pursuit of another bicycle strapped to the roof of a truck."",""These fictions read like imaginative riffs, spontaneously dashed off.""]",0,\N,"Medium",\N
"date back",\N,\N,\N,\N,\N,"Easy",\N
"date back to","[""dates back to"",""dating back to"",""dated back to""]","[""to be made or begun at a particular time in the past""]","[""a large collection of records dating back to the 1950s""]",\N,\N,"Easy",\N
"date from","[""dates from"",""dating from"",""dated from""]","[""to be made at a particular time in the past""]","[""These sculptures must date from the middle of the 7th century.""]",0,\N,"Easy",\N
"dawn on","[""dawns on"",""dawning on"",""dawned on""]","[""if something dawns on you, you realize it for the first time""]","[""Afterwards it dawns on me how tough this is going to be."",""And then it gradually begins to dawn on you."",""It was only then that it dawned on both of them that he was serious."",""It was several months before the truth finally dawned on me."",""Little by little it dawned on Archie that his wife was not coming back."",""Then it dawned on me she was with another bloke.""]",0,\N,"Medium",\N
"deal in","[""deals in"",""dealing in"",""dealt in""]","[""to be interested in something"",""to buy and sell something""]","[""Lawrence was not a man who dealt in rumours."",""The police said she was dealing in stolen goods."",""a small company that deals in rare books""]",\N,\N,"Easy",\N
"deal out","[""deals out"",""dealing out"",""dealt out""]","[""same as deal"",""to give a punishment to someone""]","[""He dealt all the cards out.""]",0,"[""administer"",""distribute"",""give"",""share""]","Medium",\N
"deal with","[""deals with"",""dealing with"",""dealt with""]","[""to accept and control a difficult emotional situation so that you can start to live a normal life again despite it"",""to be about a subject"",""to buy goods or services from someone, or to sell them to someone"",""to take action to do something, especially to solve a problem"",""to take the action that is necessary when you are involved with a particular person or type of person"",""to talk about something""]","[""Chapter 5 deals only briefly with this issue."",""He believes young offenders should be dealt with quickly and harshly."",""He's negotiating a deal with American publishers for his memoirs."",""Her mind had not had time to deal with the wider implications of all that sadistic megalomania trapped inside the woman who ruled Medalon."",""He’s not great at dealing with stress."",""I spent the morning dealing with my emails."",""In a time of greater openness, somebody still has to get into the sewer to deal with the rats."",""She’s dealing with her father’s death very well."",""The government must now deal with the problem of high unemployment."",""This is a matter that would be best dealt with by the police."",""We have dealt with the company for years."",""We’ll deal with the question of poverty in a moment.""]",4,"[""be concerned with"",""concern"",""involve"",""touch""]","Easy",\N
"decide against","[""decides against"",""deciding against"",""decided against""]","[""to not choose someone or something""]","[""In the end we decided against the house because it was too small.""]",\N,\N,"Easy",\N
"decide on","[""decides on"",""deciding on"",""decided on""]","[""to choose someone or something from a number of possible choices""]","[""A panel of experts will decide on two weekly winners."",""At the former you can browse, ask general questions, and collect information to help you to decide on your career and possible employers."",""CAN'T decide on a career?"",""City planners will begin discussing the proposals today and have two months to decide on a refusal or approval."",""Decide on something you would like to do and use it as an incentive to meet people you have something in common with."",""Hardly anybody attends when it has something to decide on."",""He was discharged from the army in 1947 and decided on a career in medical research."",""He worked at a grocery store before deciding on a career change in his mid-thirties, then went to university and ended up working as a teacher librarian."",""How did you decide on a career in music?"",""In the end we decided on two purchases, both in the property and construction sector."",""It also took six years to decide on the colour of a stair carpet so vast that it was a significant commitment."",""It seems wrong she cannot decide on something far more relevant to her future - whether she can make a baby with his sperm."",""It's tough being a sprinter when your whole year is decided on one day."",""JANUARY is the peak time for deciding on a career change - but consider the legal implications."",""Pity the poor folk who have to decide on this year 's awards for best actress."",""So I want the two of you to go into a room and decide on something unanimous."",""Stamford (right) decided on a career in fatigues after she enjoyed combined cadet force at secondary school."",""The case is expected to run until the end of next week, with the jury then taking about two days to decide on a verdict."",""The other charity we decided on this year was Help for Heroes."",""The team played a big part in helping her to decide on a career and to find a position."",""There are two ways to decide on your summer holiday this year."",""We decided on Spain for our holiday this year."",""When he returned to civilian life, he decided on a career in pathology."",""When it came to deciding on a career, I originally wanted to act."",""When the time came to decide on a career, he made the obvious choice."",""Without exception, all the medics I know decided on that career choice because of a strong sense of vocation.""]",0,\N,"Easy",\N
"decide upon",\N,"[""choose, select""]",\N,\N,\N,"Medium",\N
"deck out","[""decks out"",""decking out"",""decked out""]","[""to decorate a person or object with something, usually for a special occasion""]","[""Hence the house is decked out as if the year is 1975, and the participants monitored to see if they feel younger at the end of it."",""The lower area is even decked out with playground equipment."",""The streets are decked out with flags and streamers.""]",0,\N,"Medium",\N
"declare against","[""declares against"",""declaring against"",""declared against""]","[""to say publicly that you oppose someone or something""]","[""Others followed him and declared against the monarchy.""]",\N,\N,"Hard",\N
"declare for","[""declares for"",""declaring for"",""declared for""]","[""to say publicly that you support someone or something""]","[""Senator Hopkins has now declared for the tax cuts.""]",0,\N,"Hard",\N
"defer to","[""defers to"",""deferring to"",""deferred to""]","[""to accept someone’s opinion or decision, especially because you respect them""]","[""I will defer to Mr Walters on this point.""]",\N,\N,"Medium",\N
"delight in","[""delights in"",""delighting in"",""delighted in""]","[""to get a lot of pleasure or enjoyment from something""]","[""He delights in corresponding with his old students.""]",\N,\N,"Medium",\N
"deliver up","[""delivers up"",""delivering up"",""delivered up""]","[""to give something to someone officially and formally""]","[""All the firm’s accounting records have now been delivered up to the court.""]",\N,\N,"Hard",\N
"depart from","[""departs from"",""departing from"",""departed from""]","[""to not use the usual way of doing something""]","[""Some schools are now departing from the traditional idea of homework.""]",\N,\N,"Medium",\N
"derogate from","[""derogates from"",""derogating from"",""derogated from""]","[""to fail to act according to something as you were expected to or as you agreed"",""to make something seem less good, attractive, or important""]",\N,\N,\N,"Hard",\N
"descend from","[""descends from"",""descending from"",""descended from""]","[""to be related to a person or animal that lived long ago"",""to develop from something that happened or existed earlier""]","[""Her mother’s family are descended from the Grant clan."",""the cultural traditions that descend from the Bible""]",\N,\N,"Medium",\N
"descend into","[""descends into"",""descending into"",""descended into""]","[""if a situation descends into a certain bad state, it becomes bad""]","[""Filming descended into chaos after further arguments.""]",\N,\N,"Medium",\N
"descend on","[""descends on"",""descending on"",""descended on""]","[""if people descend on a person or a place, a lot of them arrive, often unexpectedly"",""used about things that suddenly arrive or appear""]","[""Crowds of tourists descended on the tiny church."",""Waves of sadness descended on him.""]",\N,\N,"Medium",\N
"descend to","[""descends to"",""descending to"",""descended to""]","[""to start behaving in a bad way""]","[""She won’t descend to using that kind of language.""]",\N,\N,"Hard",\N
"devolve to","[""devolves to"",""devolving to"",""devolved to""]","[""to become someone’s property when someone else dies""]",\N,\N,\N,"Hard",\N
"dial down","[""dials down"",""dialling down"",""dialled down""]","[""to reduce the level of tension or intensity in a situation"",""to use the controls on a machine to reduce the level of heat, light or sound""]","[""Put insulation around the heater and the pipes and dial down the thermostat."",""The two leaders have agreed that they need to dial down the extent to which their parties pick public fights with each other."",""With any exercise, dial it down a level from what you think you can accomplish.""]",\N,\N,"Medium",\N
"dial in",\N,"[""join a teleconference""]",\N,\N,\N,"Medium",\N
"dial into",\N,"[""join a teleconference""]",\N,\N,\N,"Medium",\N
"dial up","[""dials up"",""dialling up"",""dialled up""]","[""to get connected to the internet on your computer by using a modem and telephone line""]","[""The service allows customers of the bank to dial up from their home computer.""]",\N,\N,"Medium",\N
"die away","[""dies away"",""dying away"",""died away""]","[""to become quieter or weaker and finally stop""]","[""And her voice saying'please give us a ride' gradually died away in the distance."",""As the aftershocks of an earthquake unsettle a city, the great memories trembled inside him and only gradually died away."",""The cries of the prisoners gradually die away."",""The echoes gradually died away."",""This terrible continuing cry lasted for twenty or thirty minutes, gradually dying away, as one after another could no longer withstand the cold and exposure.""]",0,"[""decline"",""disappear"",""dwindle"",""fade away""]","Medium",\N
"die back","[""dies back"",""dying back"",""died back""]","[""if a plant dies back, the part above the ground dies but the roots stay alive""]","[""Do not cut into older, bare stems as they will often die back rather than produce new shoots."",""The young stems of walnut are hollow and will often die back if pruned in winter."",""We cut the ivy at the base of each tree so as to make it die back, after which it was fairly easy to tear it off.""]",0,\N,"Hard",\N
"die down","[""dies down"",""dying down"",""died down""]","[""if something dies down, it becomes much less noisy, powerful, or active""]","[""I waited for the laughter to die down before I spoke."",""It shows beautiful pink flowers from midsummer through to the autumn, and dies down in winter."",""Less vigorous and expensive varieties are better divided after the leaves have died down in summer."",""The crisis appeared to be dying down."",""The demonstrations are unlikely to die down."",""The government may be hoping the dispute will die down over the summer holidays."",""The wind died down during the night."",""Those in the corridor waited for the firing to die down."",""When the laughter died down it was quiet.""]",2,"[""abate"",""decrease"",""lessen"",""subside""]","Easy",\N
"die for","[""die"",""dies"",""dying"",""died""]","[""to disappear, or to stop existing"",""to kill yourself"",""to stop being alive"",""to stop burning or shining"",""to stop operating"",""used for saying that an issue is very important to you and you won't change your mind or position on it""]","[""1 in 3 people over 65 will die with dementia."",""Coal mining is dying in this area."",""He says that these are things that he would “die in a ditch for”."",""Is this a die in a ditch issue?"",""I’m proud to tell you that your son died a hero."",""My grandfather died at the age of 86."",""Our memory of her will never die."",""Several people in the village have died violent deaths."",""She is dying of cancer."",""The car’s just died on me."",""They watched the fire dying in the grate."",""They were ready to die for their country."",""Tragically, Keats died young.""]",\N,\N,"Medium",\N
"die off","[""dies off"",""dying off"",""died off""]","[""if a group dies off, the members die one by one until none exist""]","[""The generation that fought in the war are all dying off.""]",\N,\N,"Medium",\N
"die out","[""dies out"",""dying out"",""died out""]","[""to become weaker or less common and then disappear completely""]","[""For it to die out would be a tragedy."",""In this way whole branches of economics died out in our country."",""It was one of the last of a run of big spring fish that has now virtually died out."",""The tribe’s traditional way of life is dying out."",""They are actually a sign that a thunderstorm is dying out and the bad weather has passed.""]",0,"[""disappear"",""fade (away)"",""perish"",""vanish""]","Easy",\N
"dig around","[""digs around"",""digging around"",""dug around""]","[""to try to find something inside a place or container by searching in every part of it"",""to try very hard to find out information about someone, especially when they do not want you to""]","[""It was the prospect of digging around in pockets for 5p coins that provoked irritation."",""People remember the smell from when they were children, digging around looking for worms."",""Plus she's been digging around in her attic and uncovered some rarer records that haven't been played for years."",""She dug around in her handbag for a pen."",""She was digging around in her purse for a brush when a knock at the door startled her."",""You have to be careful of digging around for the gold nuggets but we've got a couple of nice horses for the Derby, so who knows?""]",0,\N,"Medium",\N
"dig in","[""digs in"",""digging in"",""dug in""]","[""if soldiers dig in or dig themselves in, they dig trenches where they can wait for an attack"",""if something digs in, it presses hard into something else"",""to mix something into the ground by digging"",""to prepare yourself for a difficult situation"",""to start eating food with a lot of enthusiasm""]","[""Both sides are digging in for a long and bitter dispute."",""Come on, everybody – dig in!"",""Idle chat is doubtless infra dig in First Class, particularly idle chat about French waitresses."",""Kate came between us, and, biting her bottom lip with her front teeth, floored Kershaw with a swift dig in the solar plexus."",""She gripped his arm so hard that her nails dug in."",""You need to dig the compost in."",""`But,\"" Pete wondered, `how do you dig in a stone tower or a boathouse?"",""`They dig in near tree roots, where you can't get a good sonar map.""]",0,"[""begin or start eating"",""fall to"",""tuck in [informal]""]","Easy",\N
"dig into","[""digs into"",""digging into"",""dug into""]","[""to make something press hard into another thing"",""to mix something into the ground by digging"",""to press hard into something"",""to put your hand in your pocket or bag in order to find something"",""to start using money that you had been saving"",""to try to find information about something""]","[""I’ve been digging manure into the soil."",""I’ve had to dig into my savings this month to pay for my car insurance."",""Jenny dug her nails into the palms of her hand."",""She dug into her pocket and took out a pen."",""The seat belt was digging into my shoulder.""]",\N,\N,"Easy",\N
"dig out","[""digs out"",""digging out"",""dug out""]","[""to accelerate rapidly in a vehicle"",""to find something that you have not used or seen for a long time"",""to get something out of a place or out of the ground by digging""]","[""I’ll dig out my old college notes later."",""Rescuers are still digging people out of the rubble."",""You can really dig out in that Corvette!""]",0,\N,"Easy",\N
"dig over","[""digs over"",""digging over"",""dug over""]","[""to dig ground in order to prepare it for new plants""]","[""After removing the turf, we dug over the soil, adding some planting compost."",""Dig over the soil beneath and add some sharp sand to increase drainage and make it workable."",""If you have dug over the soil, it will be trodden down while you plant."",""On a dry day, roughly dig over any bare soil on the vegetable patch."",""Once you have dug over an area, try not to tread on it and compact it again."",""Prepare the soil by digging over and adding sharp sand or grit to keep it well drained and open."",""The first job was to dig over the flowerbeds."",""When she returned the next day she discovered the same patch of garden had been dug over again.""]",0,\N,"Hard",\N
"dig up","[""digs up"",""digging up"",""dug up""]","[""to dig holes in an area of land"",""to find information by searching carefully"",""to remove something from under the ground by digging""]","[""They dug up a body in his garden."",""They’ve been digging up the road outside our house."",""We will have to dig that tree up."",""When we investigated his background, we dug up some interesting facts.""]",0,\N,"Easy",\N
"dine in","[""dines in"",""dining in"",""dined in""]","[""to eat your evening meal at home, or at a hotel when you are staying there, instead of at a restaurant""]",\N,\N,\N,"Easy",\N
"dine on","[""dines on"",""dining on"",""dined on""]","[""to eat a particular type of food, especially an expensive one""]","[""Few people dining on the top floor of the Oxo realise that the flats below are run by a housing association."",""He insisted on flying first class, dressed expensively and dined on the finest food and champagne."",""It encourages people to dine on seasonal foods, locally sourced and grown in an ecologically sustainable manner."",""You must dine on the right food, then spend the day being whimsical.""]",0,\N,"Medium",\N
"dine out","[""dines out"",""dining out"",""dined out""]","[""to eat dinner in a restaurant instead of at home""]","[""Dinner party culture is enjoying a revival as people swap dining out for home cooking to save money."",""Hands up who wants to dine out for less?"",""His wife has attacks of sneezing when they dine out."",""New York is completely relaxed in terms of dining out."",""You may go a month without seeing a film or dining out.""]",1,\N,"Easy",\N
"dine out on","[""dines out on"",""dining out on"",""dined out on""]","[""if you dine out on an event or experience, people invite you to meals so that you can tell them about it""]",\N,\N,\N,"Medium",\N
"dip in",\N,"[""put something in a liquid for a short time""]",\N,\N,\N,"Medium",\N
"dip into","[""dips into"",""dipping into"",""dipped into""]","[""to put your hand into a container in order to get something"",""to read, watch, or listen to small amounts of something such as a piece of writing or a programme"",""to take some money from an amount that you have saved, especially when you should not"",""to try something new in a very careful way because you are not confident about it"",""to use your own money to pay for something, especially when it is not your responsibility to pay for it""]","[""Dipping his hand into his pocket, he produced the letter I’d sent him."",""If you’re not sure rock-climbing is for you, this is a chance to dip your toe in."",""Parents are being asked to dip into their pockets for everything the school needs."",""You’d better stop dipping into your savings.""]",\N,\N,"Medium",\N
"dip out","[""dips out"",""dipping out"",""dipped out""]","[""to decide not to take part in something"",""to fail a test or a course at school""]","[""The company has dipped out on a possible merger.""]",\N,\N,"Medium",\N
"disagree with","[""disagrees with"",""disagreeing with"",""disagreed with""]","[""if something you have eaten or drunk disagrees with you, it makes you feel ill"",""to not approve of something because you think that it is dishonest or immoral""]","[""Most people strongly disagree with any cruelty to animals."",""Spicy food disagrees with me.""]",\N,\N,"Easy",\N
"dish out","[""dishes out"",""dishing out"",""dished out""]","[""if someone dishes out something such as criticism or punishment, they criticize or punish someone severely"",""to give things to a number of people"",""to serve food"",""used for saying that someone often criticizes other people but does not like being criticized""]","[""He was dishing out a chicken stew."",""He’s always ready to dish out criticism."",""It's all too easy to dish out advice to someone if you're never going to meet."",""Jennifer Aniston dishes on her engagement and upcoming film."",""She couldn't see what, so she hoisted the roasting dish out."",""She recalled the way he always used to say, `A word to the wise,' when he wanted to dish out the dirt on something or somebody."",""Some doctors are dishing out drugs their patients do not need.""]",1,"[""allocate"",""assign"",""designate"",""distribute""]","Medium",\N
"dish up","[""dishes up"",""dishing up"",""dished up""]","[""to put food into dishes so that it is ready to be eaten""]","[""Fans should applaud them for dishing up something new, but may not be enthralled by the results."",""Hawker stalls dish up local flavour and atmosphere."",""If this is what she dishes up for starters, we await the rest with relish!"",""In the unit opposite, Brixton Cornercopia, a deli and restaurant dishing up locally grown and foraged foods, may never have got started without similarly generous terms."",""Jennifer Aniston dishes on her engagement and upcoming film."",""The food's not only inedible but is dished up in large portions."",""When you were a child, chances are your parents dished up hot chicken soup when you had a cold.""]",1,"[""present"",""produce"",""serve"",""serve up""]","Medium",\N
"dispense with","[""dispenses with"",""dispensing with"",""dispensed with""]","[""to no longer use someone or something because you no longer want or need them""]","[""He was brash and quick to dispense with protocol, and had ordered his servants and guards to leave him alone."",""I think we all know each other, so we can dispense with the formalities."",""We have reluctantly decided to dispense with Porter’s services after a series of poor results.""]",0,\N,"Medium",\N
"dispose of",\N,\N,\N,\N,\N,"Easy",\N
"dissolve into","[""dissolves into"",""dissolving into"",""dissolved into""]","[""if you dissolve into something such as tears or laughter, you begin to cry or laugh in an uncontrolled way""]",\N,0,\N,"Medium",\N
"dive in","[""dives in"",""diving in"",""dived in""]","[""to start doing something in a very enthusiastic way"",""to start eating in a very enthusiastic way""]","[""Food’s on the table, just dive in!"",""Sometimes you’ve just got to take a chance and dive in.""]",\N,\N,"Easy",\N
"dive into",\N,"[""reach inside something quickly""]",\N,\N,\N,"Easy",\N
"divide into","[""divides into"",""dividing into"",""divided into""]","[""to do a mathematical calculation to find out how many times a smaller number will fit into a larger number""]","[""Divide 3 into 9.""]",\N,\N,"Easy",\N
"divide off","[""divides off"",""dividing off"",""divided off""]","[""to keep one area separate from another""]","[""the fence that divided off the women’s section""]",0,\N,"Medium",\N
"divide up","[""divides up"",""dividing up"",""divided up""]","[""same as divide""]","[""At first it was divided up as a donation between the coalition parties."",""Divide the children up into groups of four."",""Let’s divide up into groups now."",""Some councils divide up household waste on the street when they collect your recycling."",""The money will be divided up among five different charities."",""The rest of the group had already chosen a camping spot for the night and had divided up the responsibilities for getting settled."",""The salty crust was chipped away and the brown and white flesh divided up in chunks."",""a secret Soviet-German pact for dividing up Europe in 1940""]",0,"[""arrange"",""group"",""separate"",""sort""]","Easy",\N
"divvy out",\N,"[""divide, share""]",\N,\N,\N,"Hard",\N
"divvy up","[""divvies up"",""divvying up"",""divvied up""]","[""to divide or share something""]",\N,0,\N,"Medium",\N
"do away with","[""does away with"",""doing away with"",""did away with"",""done away with""]","[""to get rid of something"",""to murder someone""]","[""A lot of the restrictions on imports have been done away with."",""Companies would be aware that doing away with perks would hit morale."",""He has done away with any resemblance of accountability or separation of powers."",""Mortgage interest relief for homebuyers was done away with 15 years ago, but landlords continue to enjoy it."",""So unless we are going to do away with mobile phones there is no logic in doing away with wifi."",""Still, it's a terrible thing when you are willing a character to do away with himself simply so that the play can end."",""The trouble with doing away with choice in schools is that there is simply no other mechanism that has been shown to work for producing quality."",""There were rumours that Doug had done away with his wife.""]",0,"[""axe [informal]"",""eliminate"",""get rid of"",""remove""]","Medium",\N
"do in","[""does in"",""doing in"",""did in"",""done in""]","[""to make someone feel very tired"",""to murder someone""]","[""Finally, you'll be able to find out what she wants to do in the way of a career."",""I reckon someone did her in to get her money."",""I was speaking softly, the way you do in a hushed cathedral."",""It was climbing that last hill that really did them in."",""I’m completely done in after all that running around."",""They had an oddly knowing look, the way country people do in Ireland, the way they do everywhere."",""We said all the things people do in those situations which nobody takes seriously.""]",3,"[""destroy"",""eliminate [slang]"",""kill"",""murder""]","Hard",\N
"do out of","[""does out of"",""doing out of"",""did out of"",""done out of""]","[""to stop someone from getting or having something that they should have, especially in a way that is unfair or dishonest""]","[""That guy at the garage did me out of £50 last night."",""We’ve got a letter from a war widow who claims she’s been done out of her pension.""]",0,"[""cheat out of"",""deprive of"",""dispossess of"",""rob of""]","Hard",\N
"do over","[""does over"",""doing over"",""did over"",""done over""]","[""if your house has been done over, thieves have got into it and stolen things from it, usually causing damage"",""to attack someone and hit and kick them"",""to decorate a building or room again in a completely different way"",""to do something again from the beginning, especially because you did it badly the first time""]","[""As soon as I opened the door, I could see the place had been done over."",""Can we afford to have the house done over?"",""He was done over by a gang of kids."",""It needs to be done over and over again."",""OK, we’ll do it over, but try to sing the right words this time."",""There's not a lot you can do over a phone when things are going wrong at home."",""These checks will happen, and have happened to me a hundred times, and then all the work is to be done over again."",""What would they do differently if they had it to do over again?""]",1,\N,"Medium",\N
